Time_s	Zth_J2C_KW
0	0
1.72565E-07	0.000109552
3.4513E-07	0.000217884
5.17695E-07	0.00032499
1.61125E-06	0.00097805
2.70481E-06	0.001587073
3.79837E-06	0.002155231
4.89193E-06	0.002685943
7.42207E-06	0.003786942
9.9522E-06	0.004739427
1.24823E-05	0.005572747
1.50125E-05	0.006310018
1.75426E-05	0.006969531
2.11767E-05	0.007808853
2.48108E-05	0.008552094
2.84448E-05	0.009224763
3.20789E-05	0.009845168
3.5713E-05	0.010426693
4.22243E-05	0.011399289
4.87356E-05	0.012317092
5.52469E-05	0.013203028
6.17582E-05	0.014068889
6.82695E-05	0.014921288
8.08705E-05	0.016545717
9.34715E-05	0.018151935
0.000106072	0.019745638
0.000118673	0.021327377
0.000131274	0.022897385
0.000209098	0.03236274
0.000286922	0.041440594
0.000364745	0.050150352
0.000442569	0.058508213
0.000647294	0.078925578
0.000852019	0.09728605
0.001056744	0.113833351
0.001261469	0.128778761
0.001466194	0.142306875
0.001819616	0.162795466
0.002173038	0.18024565
0.00252646	0.195224041
0.002879882	0.208189472
0.003233305	0.219513003
0.003586727	0.229493063
0.004338775	0.247322595
0.005090824	0.261783471
0.005842872	0.273912544
0.006594921	0.284395529
0.007346969	0.293695115
0.008099018	0.302111151
0.009430144	0.31542446
0.010761269	0.327153371
0.012092395	0.337619029
0.013423521	0.34707734
0.014754647	0.355717009
0.016085773	0.363650911
0.019621004	0.381957882
0.023156236	0.396984878
0.026691468	0.40962892
0.030226699	0.420655231
0.033761931	0.430501608
0.037297162	0.439396742
0.043196281	0.452708876
0.049095399	0.464602995
0.054994518	0.475472556
0.060893636	0.485527911
0.066792754	0.494896946
0.072691873	0.503676851
0.084635491	0.519898679
0.096579109	0.534248921
0.108522728	0.546925943
0.120466346	0.558161888
0.132409964	0.568151066
0.144353583	0.577020552
0.164353583	0.589685966
0.184353583	0.60002662
0.204353583	0.60848575
0.224353583	0.615416011
0.244353583	0.621086936
0.264353583	0.625721556
0.284353583	0.629511423
0.304353583	0.632613569
0.324353583	0.635152192
0.344353583	0.63722809
0.364353583	0.638925694
0.384353583	0.640314714
0.404353583	0.641451298
0.424353583	0.642380959
0.444353583	0.643141297
0.464353583	0.643763318
0.484353583	0.644272234
0.504353583	0.644688542
0.524353583	0.645029061
0.544353583	0.645307618
0.564353583	0.645535505
0.584353583	0.645721853
0.604353583	0.645874239
0.624353583	0.645998896
0.644353583	0.646100898
0.664353583	0.646184364
0.684353583	0.646252657
0.704353583	0.646308533
0.724353583	0.64635425
0.744353583	0.646391655
0.764353583	0.64642226
0.784353583	0.646447301
0.804353583	0.646467862
0.824353583	0.646484709
0.844353583	0.646498488
0.864353583	0.646509747
0.884353583	0.646518945
0.904353583	0.646526459
0.924353583	0.646532598
0.944353583	0.646537613
0.964353583	0.64654171
0.984353583	0.646545057
1	0.646547237
